طابع زمني,السنة الدراسية,هل ترى التعليم عن بعد مفيد ومهم؟,ما هي الخدمات التعليمية التي تود الاشتراك أو الاستفسار عنها؟,من أين علمت عن جينيس؟,مكان السكن,بلد الإقامة,id
2022-09-19 15:40:51,٢ اعدادى,نعم,دبلومة الجرافكس,Facebook,المنصورة,,4904
2022-09-19 15:49:21,Kg1,نعم,القاعدة النورانية,Facebook,الهرم,,4905
2022-09-19 16:42:32,Prime 3,نعم,"دبلومة البرمجة المتخصصة, دبلومة الجرافكس, مبدائ البرمجة التأسيسية, الرياضيات ( الماتيفيك ), المستكشف الصغير",Facebook,حدائق حلوان,,4906
2022-09-19 20:33:41,الصف الثالث الابتدائي,نعم,"دبلومة البرمجة المتخصصة, دبلومة الديجتال ماركتنج",اعلان ممول ل جينيس,الفيوم,,4907
2022-09-19 20:34:40,grade 9,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, دبلومة الجرافكس, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية",Facebook,الشرقية,,4908
2022-09-19 22:18:45,...,ربما,"المدرسة الاونلاين, دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, كورس اللغة الألمانية, دبلومة الجرافكس, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية",...,...,,4909
2022-09-19 23:07:19,الصف السادس الابتدائي,ربما,دبلومة البرمجة المتخصصة,الاعلان على النت,صفط اللبن الجيزة,,4910
2022-09-20 01:40:18,تالته ثانوي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الجرافكس, مبدائ البرمجة التأسيسية",Facebook,الجيزه,,4911
2022-09-20 13:43:47,الصف الثالث الابتدائي,ربما,دبلومة البرمجة المتخصصة,Facebook,الجيزه.. المنيب,,4912
2022-09-20 17:18:44,الصف الثاني الابتدائي,نعم,القاعدة النورانية,Facebook,السعوديه,,4913
2022-09-20 18:30:34,G4,نعم,"دبلومة البرمجة المتخصصة, مبدائ البرمجة التأسيسية, القارئ المثقف, القاعدة النورانية",,6 اكتوبر,,4914
2022-09-20 20:01:11,2022,نعم,القاعدة النورانية,Facebook,,,4915
2022-09-20 22:17:22,روضة,نعم,القاعدة النورانية,,Qatar,,4916
2022-09-21 06:33:40,اولى اعدادى,ربما,مبدائ البرمجة التأسيسية,Facebook,القليوبيه,,4917
2022-09-21 11:11:08,ربعه جامعة,ربما,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, مبدائ البرمجة التأسيسية",Facebook,الفيوم,,4918
2022-09-21 11:53:43,الصف الثالث,نعم,دبلومة البرمجة المتخصصة,Facebook,عمان,,4919
2022-09-21 15:14:42,الصف الثاني الاعدادي,نعم,دبلومة الجرافكس,Facebook,الزقازيق محافظة الشرقيه,,4920
2022-09-21 19:18:25,Kg2,لا,"الكُتّاب (تحفيظ قرآن), المستكشف الصغير, القاعدة النورانية",Facebook,ارض اللوا,,4921
2022-09-21 20:12:58,اولي ثانوي,نعم,"كورس اللغة الإنجليزية, الكُتّاب (تحفيظ قرآن), القارئ المثقف",من ع الفيس بوك,الشرقيه مينيا القمح الربعمايه,,4922
2022-09-21 22:00:06,اولى جامعة,نعم,"المدرسة الاونلاين, دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية, Option 13",Facebook,بلبيس,,4923
2022-09-21 22:08:50,Kg2,نعم,"كورس اللغة الإنجليزية, الكُتّاب (تحفيظ قرآن)",,المطرية,,4924
2022-09-21 22:17:28,صف رابع,نعم,كورس اللغة الإنجليزية,,,,4925
2022-09-21 23:16:31,2اعدادى,نعم,دبلومة البرمجة المتخصصة,Facebook,امبابه,,4926
2022-09-22 11:06:04,الصف الاول الابتدائى,ربما,"الكُتّاب (تحفيظ قرآن), المستكشف الصغير, القاعدة النورانية",Facebook,جده,,4927
2022-09-22 12:36:31,الأول الإعدادي,نعم,"المدرسة الاونلاين, مبدائ البرمجة التأسيسية",Facebook,دمياط,,4928
2022-09-22 15:01:28,صف ثاني اعدادي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية",Facebook,الشيخ زايد,,4929
2022-09-22 21:18:23,9th,نعم,"دبلومة البرمجة المتخصصة, دبلومة الجرافكس",,,,4930
2022-09-22 22:03:18,1ثانوي,نعم,"المدرسة الاونلاين, دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, كورس اللغة الألمانية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية, Option 13",Facebook,سوهاج,,4931
2022-09-22 22:20:15,أولي ابتدائي,ربما,"المدرسة الاونلاين, دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, كورس اللغة الألمانية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية, Option 13",Facebook,,,4932
2022-09-23 05:43:12,ثانيه ثانوى,ربما,مبدائ البرمجة التأسيسية,Facebook,عين شمس الشرقيه. القاهرة. مصر,,4933
2022-09-23 06:34:46,الصف الثالث متوسط,نعم,"كورس اللغة الإنجليزية, الكُتّاب (تحفيظ قرآن)",Facebook,الجيزه امبابه,,4934
2022-09-23 11:38:58,٦ ابتدائى,نعم,دبلومة البرمجة المتخصصة,الانترنت,مدينه نصر,,4935
2022-09-23 13:48:52,أول ابتدائي,ربما,"الكُتّاب (تحفيظ قرآن), القاعدة النورانية",,الرياض,,4936
2022-09-23 17:41:43,الصف الثانى,نعم,القاعدة النورانية,Facebook,قطر,,4937
2022-09-23 20:00:28,تانيه ثانوي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الجرافكس",Facebook,العاشر من رمضان,,4938
2022-09-23 20:06:57,٢ ثانوي عام,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, مبدائ البرمجة التأسيسية",جروب وتس اب,,,4939
2022-09-24 00:29:18,الثالث الإبتدائي,نعم,كورس اللغة الإنجليزية,,الشروق,,4940
2022-09-24 00:30:37,الأول الإبتدائي,نعم,كورس اللغة الإنجليزية,,الشروق,,4941
2022-09-24 01:19:22,اولى اعدادى,لا,كورس اللغة الإنجليزية,Facebook,الخصوص,,4942
2022-09-24 01:35:12,الثالث الاعدادي,نعم,دبلومة البرمجة المتخصصة,Facebook,المنيب,,4943
2022-09-24 06:20:59,الصف السادس الابتدائي,نعم,دبلومة البرمجة المتخصصة,من النت,طره البلد المعادي,,4944
2022-09-24 13:38:19,ثالثه ابتدائي,نعم,القاعدة النورانية,Facebook,Fdeewww,,4945
2022-09-24 13:58:30,الصف الأول الثانوي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية",Facebook,مدينة نصر,,4946
2022-09-24 21:16:34,الثالث الابتدائي,ربما,مبدائ البرمجة التأسيسية,Facebook,المطرية,,4947
2022-09-24 23:37:12,الصف الثاني الاعدادي,نعم,دبلومة البرمجة المتخصصة,من النت,القوصيه محافظة اسيوط,,4948
2022-09-24 23:39:08,الصف السادس الابتدائي,نعم,دبلومة البرمجة المتخصصة,من النت,القوصيه محافظة اسيوط,,4949
2022-09-25 12:19:24,تانية اعدادى,ربما,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية",من النت,شبرا الخيمه,,4950
2022-09-25 13:24:19,بكالوريوس,ربما,"المدرسة الاونلاين, دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, كورس اللغة الألمانية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية, Option 13",,,,4951
2022-09-25 16:21:05,الاول الابتدائي,نعم,المدرسة الاونلاين,الفيس,الرماية,,4952
2022-09-25 18:01:16,٣ صيدلة,نعم,"دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية",فيس بوك,الاسماعيليه,,4953
2022-09-25 19:13:32,الثالث الاعدادي,ربما,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, كورس اللغة الألمانية, دبلومة الجرافكس, دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك )",صديق لي,الجيزه,,4954
2022-09-25 22:27:14,اولي إبتدائي,نعم,"الكُتّاب (تحفيظ قرآن), القاعدة النورانية",Facebook,October,,4955
2022-09-25 22:33:47,2 اعدادي,نعم,"الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية",من خلال أبي,مدينة نصر,,4956
2022-09-25 22:45:56,الاول الابتدائي,نعم,"الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية",الدكتور محمد كحيل,الاسكندريه,,4957
2022-09-26 01:25:11,كيجي,ربما,"كورس اللغة الإنجليزية, القاعدة النورانية",اعلان,البحيرة مركز بدر,,4958
2022-09-26 05:55:16,ثاني ثانوي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية",فيسبوك,,,4959
2022-09-26 05:59:25,ثاني ثانوي,نعم,"كورس اللغة الإنجليزية, دبلومة الجرافكس",فيسبوك,,,4960
2022-09-26 08:26:11,تاسع,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج",اعلان ممول,الرياض,,4961
2022-09-26 10:01:03,G6,ربما,"كورس اللغة الإنجليزية, كورس اللغة الألمانية",F.b,حدايق حلوان,,4962
2022-09-26 11:43:24,4,نعم,"الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير",Facebook,السويد,,4963
2022-09-26 11:44:38,3,نعم,"الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير",Facebook,السويد,,4964
2022-09-26 13:37:43,السادس,نعم,دبلومة البرمجة المتخصصة,Facebook,الاسكندرية,,4965
2022-09-26 13:52:52,الصف الرابع الابتدائي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, كورس اللغة الألمانية, دبلومة الجرافكس, مبدائ البرمجة التأسيسية",من الحاسوب,شبرا مصر,,4966
2022-09-26 15:53:25,Year 5,نعم,"دبلومة البرمجة المتخصصة, دبلومة الجرافكس, دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, القاعدة النورانية",Facebook,Alexandria,,4967
2022-09-26 18:54:51,الخامس الابتدائي,ربما,"دبلومة البرمجة المتخصصة, مبدائ البرمجة التأسيسية",فيسبوك,التجمع الخامس,,4968
2022-09-26 22:07:17,الثاني الاعدادي,ربما,كورس اللغة الإنجليزية,فيس بوك,دار السلام,,4969
2022-09-26 22:29:02,الصف الثالث الاعدادي,نعم,مبدائ البرمجة التأسيسية,,طذتت,,4970
2022-09-26 23:57:10,الصف الخامس,ربما,"كورس اللغة الإنجليزية, كورس اللغة الألمانية, الكُتّاب (تحفيظ قرآن), القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية",الفيس بوك,السويس,,4971
2022-09-27 09:14:43,klass 8,نعم,"دبلومة البرمجة المتخصصة, الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية, الرياضيات ( الماتيفيك )",,,,4972
2022-09-27 13:11:43,الصف الخامس الابتدائي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير",الفيس بوك,سيدي سالم كفر الشيخ,,4973
2022-09-27 15:10:30,١اعدادي,نعم,مبدائ البرمجة التأسيسية,فيسبوك,مصر,,4974
2022-09-27 15:12:00,١ اعدادي,نعم,"دبلومة البرمجة المتخصصة, دبلومة الجرافكس",فيس,,,4975
2022-09-27 16:50:51,الصف الثاني الاعدادي,ربما,دبلومة البرمجة المتخصصة,الفيسبوك,دمياط,,4976
2022-09-27 18:51:09,الصف الأول,نعم,القاعدة النورانية,الفيس بوك,الاسكندريه,,4977
2022-09-28 00:37:05,الثانى الابتدائى,نعم,"الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية",الفيس بوك,القاهرة,,4978
2022-09-28 07:35:23,الصف الأول الثانوي,نعم,دبلومة البرمجة المتخصصة,الفيس بوك,مدينة العبور.... وحاليا بالسعودية,,4979
2022-09-28 09:11:15,٣ اعدادى,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية",من الفيسبوك,الف مسكن,,4980
2022-09-28 12:33:58,الصف الثاني الثانوي,نعم,"كورس اللغة الإنجليزية, دبلومة الجرافكس, مبدائ البرمجة التأسيسية",الفيس بوك,القليوبية,,4981
2022-09-28 12:41:29,الصف الثاني الثانوي,نعم,"كورس اللغة الألمانية, دبلومة الجرافكس, مبدائ البرمجة التأسيسية",,القليوبية,,4982
2022-09-28 17:58:09,الصف الخامس الابتدائي,ربما,مبدائ البرمجة التأسيسية,موقع الكتروني (Facebook},١٦ش النصر المنشية .الأسكندرية,,4983
2022-09-28 22:48:25,١اعدادى,ربما,الكُتّاب (تحفيظ قرآن),فيس بوك ونحن مشتركين بالفعل,٦اكتوبر,,4984
2022-09-28 22:50:31,٥ابتدائي,ربما,الكُتّاب (تحفيظ قرآن),فيس بوك,6اكتوبر,,4985
2022-09-28 23:57:58,أول,نعم,القاعدة النورانية,اعلان في الفيس,السعودية,,4986
2022-09-29 05:44:27,الثالث الاعدادي,ربما,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, الكُتّاب (تحفيظ قرآن)",من الفيس بوك,مدينة السادات,,4987
2022-09-29 09:38:37,اولي ابتدائي,ربما,"كورس اللغة الإنجليزية, مبدائ البرمجة التأسيسية",الفيسبوك,المنصورة,,4988
2022-09-29 12:12:53,الاول الثانوي,نعم,"كورس اللغة الإنجليزية, دبلومة الجرافكس",الفيس بوك,خلف 24 من شارع صلاح الدين,,4989
2022-09-29 12:32:05,بكالوريس تجارة انجليزى,نعم,"كورس اللغة الإنجليزية, دبلومة الديجتال ماركتنج, المستكشف الصغير",Facebook,مصريه مقيمة بالسعوديه,,4990
2022-09-29 12:36:56,تانيه اعدادي,نعم,دبلومة البرمجة المتخصصة,من علي الفيس بوك,ميت غمر,,4991
2022-09-29 17:31:30,الخامس الابتدائ,نعم,"دبلومة البرمجة المتخصصة, الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية",من الفيس بوك,الزقازيق,,4992
2022-09-29 17:57:13,الرابعه,ربما,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), مبدائ البرمجة التأسيسية, القارئ المثقف, المستكشف الصغير",Facebook,المعادي القاهره,,4993
2022-09-29 18:00:50,الصف السادس,ربما,"دبلومة الجرافكس, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير",الفيس بوك,التجمع الخامس,,4994
2022-09-30 02:48:16,الاول الثانوي,نعم,"دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, كورس اللغة الألمانية, دبلومة الجرافكس, الكُتّاب (تحفيظ قرآن), دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية",من فيسبوك,بني سويف عند مستشفي الجامعة,,4995
2022-09-30 09:01:31,السادس الابتدائي,ربما,مبدائ البرمجة التأسيسية,عبر اعلانات على الفيس بوك,محافظه بورسعيد,,4996
2022-09-30 16:07:10,اولى حاسبات ومعلومات وذكاء اصطناعى,نعم,"المدرسة الاونلاين, دبلومة البرمجة المتخصصة, كورس اللغة الإنجليزية, كورس اللغة الألمانية, دبلومة الجرافكس, دبلومة الديجتال ماركتنج, مبدائ البرمجة التأسيسية, القارئ المثقف, الرياضيات ( الماتيفيك ), المستكشف الصغير, القاعدة النورانية",منشور على الفيسبوك,بنى سويف,,4997
2022-09-30 16:56:04,الصف الثاني الاعدادي,لا,مبدائ البرمجة التأسيسية,الفيسبوك,٦ اكتوبر الحي الثاني عشر المجاوره الخامسه عماره ١٩,,4998
2022-09-30 17:03:23,الثاني الاعدادي,لا,مبدائ البرمجة التأسيسية,فيسبوك,مدينة ٦اكتوبر حى ١٢ مجاوره٥ عماره ١٩,,4999
